country,city,business_slice,month,trips_month_fact,trips_recomputed,trips_resolved,diff_trips_abs,diff_trips_pct,revenue_month_fact,revenue_recomputed,revenue_resolved,diff_revenue_abs,diff_revenue_pct,month_refreshed_at,day_refreshed_at,first_day,last_day,distinct_days,status,suspected_cause
colombia,barranquilla,Auto regular,2026-04-01,13250.0,13250.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:20.988919-05:00,2026-04-21 16:33:15.383975-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,barranquilla,Delivery moto,2026-04-01,1479.0,1479.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:20.988919-05:00,2026-04-21 16:33:15.383975-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,bogota,Carga,2026-04-01,2896.0,2896.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:30.880506-05:00,2026-04-21 16:33:25.541600-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,bucaramanga,Auto regular,2026-04-01,155.0,155.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:32.449004-05:00,2026-04-21 16:33:27.116692-05:00,2026-04-01,2026-04-20,19,ok,negligible
colombia,bucaramanga,Taxi Moto,2026-04-01,7.0,7.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:32.449004-05:00,2026-04-21 16:33:27.116692-05:00,2026-04-01,2026-04-18,12,ok,negligible
colombia,cali,Auto regular,2026-04-01,125248.0,125248.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:33.974037-05:00,2026-04-21 16:33:28.652701-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,cali,Taxi Moto,2026-04-01,54366.0,54366.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:40:33.974037-05:00,2026-04-21 16:33:28.652701-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,cucuta,Auto regular,2026-04-01,2.0,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:09.609820-05:00,2026-04-21 16:34:04.271082-05:00,2026-04-02,2026-04-20,5,ok,negligible
colombia,cucuta,Taxi Moto,2026-04-01,299.0,299.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:09.609820-05:00,2026-04-21 16:34:04.271082-05:00,2026-04-01,2026-04-20,17,ok,negligible
colombia,medellin,Auto regular,2026-04-01,1070.0,1070.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:11.131509-05:00,2026-04-21 16:34:05.820151-05:00,2026-04-01,2026-04-20,20,ok,negligible
colombia,medellin,Taxi Moto,2026-04-01,641.0,641.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:11.131509-05:00,2026-04-21 16:34:05.820151-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,arequipa,Auto regular,2026-04-01,12117.0,12117.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:13.557984-05:00,2026-04-21 16:34:08.237234-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,Auto regular,2026-04-01,253371.0,253371.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,Carga,2026-04-01,482.0,482.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,Delivery,2026-04-01,6528.0,6528.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,PRO,2026-04-01,10077.0,10077.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,Tuk Tuk,2026-04-01,19256.0,19256.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,lima,YMA,2026-04-01,13755.0,13755.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:15.561048-05:00,2026-04-21 16:34:10.237791-05:00,2026-04-01,2026-04-20,20,ok,negligible
peru,trujillo,Auto regular,2026-04-01,21014.0,21014.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2026-04-21 16:41:57.924003-05:00,2026-04-21 16:34:52.864236-05:00,2026-04-01,2026-04-20,20,ok,negligible
